concat_dm_dbow,1,0.541,0.024,Doc2Vec(dm/m,d1,n5,w10,s0.0001)+Doc2Vec(dbow,d1,n5,s0.0001)
concat_dm_dbow,2,0.692,0.029,Doc2Vec(dm/m,d2,n5,w10,s0.0001)+Doc2Vec(dbow,d2,n5,s0.0001)
concat_dm_dbow,4,0.687,0.037,Doc2Vec(dm/m,d4,n5,w10,s0.0001)+Doc2Vec(dbow,d4,n5,s0.0001)
concat_dm_dbow,8,0.745,0.037,Doc2Vec(dm/m,d8,n5,w10,s0.0001)+Doc2Vec(dbow,d8,n5,s0.0001)
concat_dm_dbow,16,0.858,0.029,Doc2Vec(dm/m,d16,n5,w10,s0.0001)+Doc2Vec(dbow,d16,n5,s0.0001)
concat_dm_dbow,32,0.874,0.032,Doc2Vec(dm/m,d32,n5,w10,s0.0001)+Doc2Vec(dbow,d32,n5,s0.0001)
concat_dm_dbow,64,0.879,0.025,Doc2Vec(dm/m,d64,n5,w10,s0.0001)+Doc2Vec(dbow,d64,n5,s0.0001)
concat_dm_dbow,1024,0.800,0.026,Doc2Vec(dm/m,d1024,n5,w10,s0.0001)+Doc2Vec(dbow,d1024,n5,s0.0001)
concat_dm_dbow,128,0.852,0.025,Doc2Vec(dm/m,d128,n5,w10,s0.0001)+Doc2Vec(dbow,d128,n5,s0.0001)
concat_dm_dbow,256,0.806,0.039,Doc2Vec(dm/m,d256,n5,w10,s0.0001)+Doc2Vec(dbow,d256,n5,s0.0001)
concat_dm_dbow,512,0.799,0.021,Doc2Vec(dm/m,d512,n5,w10,s0.0001)+Doc2Vec(dbow,d512,n5,s0.0001)
dbow,1,0.498,0.007,Doc2Vec(dbow,d1,n5,s0.0001)
dbow,2,0.685,0.035,Doc2Vec(dbow,d2,n5,s0.0001)
dbow,4,0.688,0.038,Doc2Vec(dbow,d4,n5,s0.0001)
dbow,8,0.735,0.032,Doc2Vec(dbow,d8,n5,s0.0001)
dbow,16,0.851,0.027,Doc2Vec(dbow,d16,n5,s0.0001)
dbow,32,0.871,0.035,Doc2Vec(dbow,d32,n5,s0.0001)
dbow,64,0.880,0.031,Doc2Vec(dbow,d64,n5,s0.0001)
dbow,1024,0.792,0.022,Doc2Vec(dbow,d1024,n5,s0.0001)
dbow,128,0.868,0.032,Doc2Vec(dbow,d128,n5,s0.0001)
dbow,256,0.859,0.029,Doc2Vec(dbow,d256,n5,s0.0001)
dbow,512,0.805,0.028,Doc2Vec(dbow,d512,n5,s0.0001)
dm,1,0.541,0.023,Doc2Vec(dm/m,d1,n5,w10,s0.0001)
dm,2,0.638,0.020,Doc2Vec(dm/m,d2,n5,w10,s0.0001)
dm,4,0.662,0.036,Doc2Vec(dm/m,d4,n5,w10,s0.0001)
dm,8,0.709,0.041,Doc2Vec(dm/m,d8,n5,w10,s0.0001)
dm,16,0.756,0.034,Doc2Vec(dm/m,d16,n5,w10,s0.0001)
dm,32,0.825,0.027,Doc2Vec(dm/m,d32,n5,w10,s0.0001)
dm,64,0.840,0.032,Doc2Vec(dm/m,d64,n5,w10,s0.0001)
dm,1024,0.765,0.028,Doc2Vec(dm/m,d1024,n5,w10,s0.0001)
dm,128,0.832,0.034,Doc2Vec(dm/m,d128,n5,w10,s0.0001)
dm,256,0.800,0.033,Doc2Vec(dm/m,d256,n5,w10,s0.0001)
dm,512,0.765,0.024,Doc2Vec(dm/m,d512,n5,w10,s0.0001)
w_dbow,1,0.517,0.043,Doc2Vec(dbow+w,d1,n5,w10,s0.0001)
w_dbow,2,0.615,0.023,Doc2Vec(dbow+w,d2,n5,w10,s0.0001)
w_dbow,4,0.666,0.033,Doc2Vec(dbow+w,d4,n5,w10,s0.0001)
w_dbow,8,0.721,0.046,Doc2Vec(dbow+w,d8,n5,w10,s0.0001)
w_dbow,16,0.810,0.031,Doc2Vec(dbow+w,d16,n5,w10,s0.0001)
w_dbow,32,0.857,0.032,Doc2Vec(dbow+w,d32,n5,w10,s0.0001)
w_dbow,64,0.882,0.036,Doc2Vec(dbow+w,d64,n5,w10,s0.0001)
w_dbow,128,0.875,0.035,Doc2Vec(dbow+w,d128,n5,w10,s0.0001)
w_dbow,256,0.863,0.029,Doc2Vec(dbow+w,d256,n5,w10,s0.0001)
w_dbow,512,0.824,0.020,Doc2Vec(dbow+w,d512,n5,w10,s0.0001)
w_dbow,1024,0.826,0.011,Doc2Vec(dbow+w,d1024,n5,w10,s0.0001)
